ROUND,AI RANK,STATE,INSTITUTE,COURSE,QUOTA,CATEGORY,FEE,STIPEND,BOND YRS,BEDS
3,31243,Odisha,"Kalinga IMS, Bhubaneswar",PSYCHIATRY,MNG,GEN,"₹ 23,00,000","₹ 72,000",0,2600
3,31245,Uttar Pradesh,"Max Super Spec Hospital, Noida",DNBANAESTHESIOLOGY,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 60,000",0,504
3,31247,Manipur,"RIMS, Imphal",PATHOLOGY,AIQ,GEN,"₹ 5,000","₹ 1,09,926",0,1074
3,31249,West Bengal,"Govt. Med College, Kolkata",ANAESTHESIOLOGY,AIQ,OBC,"₹ 12,000","₹ 61,634",3,2668
3,31252,Maharashtra,"DY Patil, Kolhapur",OBG,MNG,GEN,"₹ 31,10,000","₹ 86,629",0,800
3,31254,Jharkhand,"Tata Main Hospital, Jamshedpur",DNBANAESTHESIOLOGY,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 52,000",0,983
3,31255,Ladakh,"SNM Hospital, Leh, Ladakh",DNBGENERAL MEDICINE,DNB Post MBBS,SC,"₹ 1,25,000","₹ 75,000",0,280
3,31258,Chhattisgarh,"Shree Narayana Hosp, Raipur",DNBORTHOPAEDICS,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 67,500",0,200
3,31260,Telangana,"MythriHosp,Mehdipatnam, Hyd",DNBANAESTHESIOLOGY,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 67,032",0,250
3,31264,Karnataka,"Manipal Hospital,Ambalipura,BLR",DNBORTHOPAEDICS,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 56,250",0,214
3,31267,Andhra Pradesh,"Andhra Med Coll, Vizag",OPHTHALMOLOGY,AIQ,SC,"₹ 30,000","₹ 60,823",0,1030
3,31271,Karnataka,"Bhagwan MahaveerJain,Bangalore",DNBANAESTHESIOLOGY,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 56,250",0,470
3,31272,West Bengal,"RN Tagore (Cardiac), Kolkata",DNBANAESTHESIOLOGY,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 61,634",0,681
3,31274,Delhi,"VMMC, Delhi",ANAESTHESIOLOGY,IP,OBC,"₹ 15,000","₹ 1,20,965",1,1550
3,31275,Tamil Nadu,Govt Theni Med Coll,OBG,AIQ,SC,"₹ 50,000","₹ 54,025",2,940
3,31276,Punjab,"Govt Med Coll, Amritsar",ANAESTHESIOLOGY,AIQ,OBC,"₹ 1,25,000","₹ 76,000",2,951
3,31280,West Bengal,"IPGMER, Kolkata",PATHOLOGY,AIQ,GEN,"₹ 12,000","₹ 61,634",3,2300
3,31284,Karnataka,"KS Hegde, Mangalore",OBG,MNG,GEN,"₹ 27,30,000","₹ 56,250",0,1000
3,31286,Maharashtra,"Govt Med Coll, Jalgaon",PAEDIATRICS,AIQ,SC,"₹ 1,57,100","₹ 93,559",1,441
3,31288,Karnataka,"Manipal Hosp, Rustum Bagh, BLR",DNBORTHOPAEDICS,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 56,250",0,600
3,31289,Andhra Pradesh,"Area Hospital, Narasaraopet",DCH(NBEMS),NBE Diploma,OBC,"₹ 1,25,000",Info not available,0,-
3,31290,Delhi,"IndianRailwayPGInst,New Delhi",PATHOLOGY,AIQ,GEN,"₹ 16,200","₹ 1,10,533",0,-
3,31291,Tamil Nadu,"Dr Rela Inst, Chrompet,Chennai",DNBANAESTHESIOLOGY,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 50,000",0,450
3,31293,Delhi,"Hamdard Institute, Delhi",PAEDIATRICS,MNG,GEN,"₹ 27,00,000","₹ 80,000",0,710
3,31294,Maharashtra,"Krishna IMS, Karad",GENERAL MEDICINE,MNG,GEN,"₹ 41,00,000","₹ 92,470",0,1125
3,31301,Maharashtra,"Krishna IMS, Karad",GENERAL MEDICINE,MNG,GEN,"₹ 41,00,000","₹ 92,470",0,1125
3,31302,Madhya Pradesh,"District Hosp, Shivpuri",DGO(NBEMS),NBE Diploma,GEN,"₹ 1,25,000","₹ 75,444",3,-
3,31303,Karnataka,"Yenepoya Spec Hosp, Kodialbail",DNBORTHOPAEDICS,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 45,000",0,170
3,31304,Karnataka,"Gadag IMS, Gadag",ANAESTHESIOLOGY,AIQ,EWS,"₹ 1,23,400","₹ 56,250",1,-
3,31306,Kerala,"Amrita School of Med, Kochi",RADIO DIAGNOSIS,MNG,GEN,"₹ 50,00,000","₹ 48,000",0,1110
3,31309,Karnataka,"Manipal Hosp, Rustum Bagh, BLR",DNBORTHOPAEDICS,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 56,250",0,600
3,31310,Rajasthan,"Balaji Cure & Care Hosp, Jaipur",DGO(NBEMS),NBE Diploma,GEN,"₹ 1,25,000",Info not available,0,-
3,31313,Kerala,"Smita Memo Hosp & RC,Thodupuzha",DNBANAESTHESIOLOGY,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 55,000",0,300
3,31316,Haryana,"Delhi Hospital, Jhajjar",DGO(NBEMS),NBE Diploma,GEN,"₹ 1,25,000","₹ 43,000",0,-
3,31318,Telangana,"Suraksha Wom&Child Hosp, Kompally",DCH(NBEMS),NBE Diploma,GEN,"₹ 1,25,000","₹ 40,000",0,-
3,31324,Kerala,"KIMS, Trivandrum",DNBORTHOPAEDICS,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 57,876",0,650
3,31328,Uttar Pradesh,"BRD Med Coll, Gorakhpur",ANAESTHESIOLOGY,AIQ,OBC,"₹ 24,000","₹ 1,10,646",2,1050
3,31330,Uttar Pradesh,"Dist Women Hosp, Rekab Ganj",DCH(NBEMS),NBE Diploma,GEN,"₹ 1,25,000","₹ 70,000",0,-
3,31332,Jammu and Kashmir,"Govt Med Coll, Srinagar",ANAESTHESIOLOGY,AIQ,EWS,"₹ 32,500","₹ 63,240",0,3120
3,31333,Karnataka,"Kasturba Med Coll, Manipal",EMERGENCY MEDICINE,MNG,GEN,"₹ 26,50,000","₹ 56,250",0,2032
3,31336,Karnataka,"Gadag IMS, Gadag",OBG,AIQ,SC,"₹ 1,23,400","₹ 56,250",1,-
3,31338,Punjab,"Amandeep Medicity, Amritsar",DTBCD(NBEMS),NBE Diploma,GEN,"₹ 1,25,000","₹ 76,000",0,200
3,31339,Delhi,"Lady Hardinge, Delhi",SPM,AIQ,GEN,"₹ 16,200","₹ 1,26,927",1,877
3,31340,West Bengal,"Peerless Hospital, Kolkata",DNBANAESTHESIOLOGY,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 61,634",0,500
3,31342,Tamil Nadu,"Chettinad Hosp&RI,Kanchipuram",DERMATOLOGY,MNG,GEN,"₹ 48,00,000","₹ 48,000",0,1180
3,31345,Kerala,"Ernakulam Medical Centre,Kochi",DNBORTHOPAEDICS,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 57,876",0,250
3,31349,Delhi,"St Stephen's Hospital, Delhi",DNBFAMILY MEDICINE,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 58,000",0,595
3,31350,Tamil Nadu,"Dr Kamakshi Mem, Chennai",DNBFAMILY MEDICINE,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 48,000",0,300
3,31351,Rajasthan,"SMS, Jaipur",PATHOLOGY,AIQ,OBC,"₹ 14,093","₹ 87,216",2,5702
3,31358,Tamil Nadu,"Madras Med Coll, Chennai",OPHTHALMOLOGY,AIQ,EWS,"₹ 50,000","₹ 54,025",2,7285
3,31360,Delhi,"Hamdard Institute, Delhi",GENERAL SURGERY,MNG,GEN,"₹ 25,00,000","₹ 80,000",0,710
3,31361,Karnataka,"Arihant Hosp,Belagavi",DNBCARDIOTHORACIC 6 YRS,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 50,000",0,100
3,31364,Haryana,"Paras Hospital, Gurgaon",DNBANAESTHESIOLOGY,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 60,000",0,250
3,31368,Karnataka,"Manipal Hosp, Rustum Bagh, BLR",DNBORTHOPAEDICS,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 56,250",0,600
3,31370,Maharashtra,"Noble Hospital, Pune",DNBANAESTHESIOLOGY,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 89,700",0,350
3,31375,Odisha,"Kalinga IMS, Bhubaneswar",ENT,MNG,GEN,"₹ 23,00,000","₹ 72,000",0,2600
3,31379,Maharashtra,"BVDU, Pune",GENERAL SURGERY,MNG,GEN,"₹ 32,21,090","₹ 86,000",1,856
3,31383,Karnataka,"ESI, Bangalore",ORTHOPAEDICS,AIQ,SC,"₹ 2,50,000","₹ 1,14,016",2,530
3,31386,Punjab,"Grecian SS Hosp, Mohali",DNBANAESTHESIOLOGY,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 70,000",0,300
3,31391,Karnataka,"St Martha's Hosp, Bangalore",DNBANAESTHESIOLOGY,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 56,250",0,504
3,31395,Telangana,"Osmania Med Coll, Hyderabad",PATHOLOGY,AIQ,GEN,"₹ 15,000","₹ 67,032",1,4800
3,31396,Maharashtra,"BVDU, Sangli",ORTHOPAEDICS,MNG,GEN,"₹ 28,07,816","₹ 86,000",1,853
3,31401,Tamil Nadu,"Dr Rangarajan Mem Hosp,Chennai",DNBANAESTHESIOLOGY,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 54,000",0,201
3,31402,Kerala,"Comtrust Eye Hosp, Kozhikode",DO(NBEMS),NBE Diploma,GEN,"₹ 1,25,000","₹ 57,876",0,45
3,31403,Madhya Pradesh,"Apollo SAGE Hosp,Bhopal",DNBANAESTHESIOLOGY,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 70,000",0,200
3,31405,Madhya Pradesh,"District Hosp, Shivpuri",DGO(NBEMS),NBE Diploma,GEN,"₹ 1,25,000","₹ 75,444",3,-
3,31406,Punjab,"ESI Hosp, Ludhiana",DGO(NBEMS),NBE Diploma,EWS,"₹ 1,25,000","₹ 1,30,653",2,-
3,31408,Uttar Pradesh,"Apollomedics SS Hosp, Lucknow",DNBORTHOPAEDICS,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 80,000",0,300
3,31422,Karnataka,"JN Medical College, Belgaum",PAEDIATRICS,MNG,GEN,"₹ 30,30,000","₹ 56,250",1,2400
3,31423,Andhra Pradesh,"Rainbow Child,Vijayawada,BLR",DGO(NBEMS),NBE Diploma,GEN,"₹ 1,25,000","₹ 60,823",0,130
3,31431,Madhya Pradesh,"Kushabhau Thakre Hosp, Rewa",DCH(NBEMS),NBE Diploma,GEN,"₹ 1,25,000","₹ 75,444",3,100
3,31434,Jammu and Kashmir,"Govt Hosp, Gandhi Nagar, JK",DGO(NBEMS),NBE Diploma,OBC,"₹ 1,25,000","₹ 48,000",0,160
